github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.19.2/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/mattn/go-sqlite3,https://github.com/mattn/go-sqlite3/blob/v1.14.52/LICENSE,MIT
github.com/modelcontextprotocol/go-sdk,https://github.com/modelcontextprotocol/go-sdk/blob/v1.7.0/LICENSE,Apache-2.0
github.com/modelcontextprotocol/go-sdk,https://github.com/modelcontextprotocol/go-sdk/blob/v1.7.0/LICENSE,MIT
github.com/mohae/deepcopy,https://github.com/mohae/deepcopy/blob/c48cc78d4826/LICENSE,MIT
github.com/neo4j/neo4j-go-driver/v6/neo4j,https://github.com/neo4j/neo4j-go-driver/blob/v6.2.0/LICENSE,Apache-2.0
github.com/openzipkin/zipkin-go/model,https://github.com/openzipkin/zipkin-go/blob/v0.4.2/LICENSE,Apache-2.0
github.com/ory/fosite,https://github.com/ory/fosite/blob/v0.49.0/LICENSE,Apache-2.0
github.com/ory/go-convenience/stringslice,https://github.com/ory/go-convenience/blob/v0.1.0/LICENSE,MIT
github.com/ory/x,https://github.com/ory/x/blob/v0.0.665/LICENSE,Apache-2.0
github.com/paulmach/orb,https://github.com/paulmach/orb/blob/v0.13.0/LICENSE.md,MIT
github.com/pganalyze/pg_query_go/v6,https://github.com/pganalyze/pg_query_go/blob/v6.2.2/LICENSE,BSD-3-Clause
github.com/pierrec/lz4/v4,https://github.com/pierrec/lz4/blob/v4.1.27/LICENSE,BSD-3-Clause
github.com/pingcap/errors,https://github.com/pingcap/errors/blob/74f78ae071ee/LICENSE,BSD-2-Clause
github.com/pingcap/failpoint,https://github.com/pingcap/failpoint/blob/b51a646c7c86/LICENSE,Apache-2.0
github.com/pingcap/log,https://github.com/pingcap/log/blob/v1.1.0/LICENSE,Apache-2.0
github.com/pingcap/tidb/pkg/parser,https://github.com/pingcap/tidb/blob/c5c97d97a645/pkg/parser/LICENSE,Apache-2.0
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause
github.com/pmezard/go-difflib/difflib,https://github.com/pmezard/go-difflib/blob/5d4384ee4fb2/LICENSE,BSD-3-Clause
github.com/redis/go-redis/v9,https://github.com/redis/go-redis/blob/v9.22.0/LICENSE,BSD-2-Clause
github.com/seatgeek/logrus-gelf-formatter,https://github.com/seatgeek/logrus-gelf-formatter/blob/5b05eb8ff761/LICENSE,BSD-3-Clause
github.com/segmentio/asm/ascii,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/base64,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/bswap,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/cpu,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/cpu/arm,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/cpu/arm64,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/cpu/cpuid,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/cpu/x86,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/internal/unsafebytes,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/asm/keyset,https://github.com/segmentio/asm/blob/v1.2.1/LICENSE,MIT-0
github.com/segmentio/encoding,https://github.com/segmentio/encoding/blob/v0.5.4/LICENSE,MIT
github.com/shopspring/decimal,https://github.com/shopspring/decimal/blob/v1.4.0/LICENSE,MIT
github.com/sirupsen/logrus,https://github.com/sirupsen/logrus/blob/v1.9.4/LICENSE,MIT
github.com/stretchr/testify,https://github.com/stretchr/testify/blob/v1.11.1/LICENSE,MIT
github.com/xdg-go/scram,https://github.com/xdg-go/scram/blob/v1.2.0/LICENSE,Apache-2.0
github.com/xdg-go/stringprep,https://github.com/xdg-go/stringprep/blob/v1.0.4/LICENSE,Apache-2.0
github.com/yosida95/uritemplate/v3,https://github.com/yosida95/uritemplate/blob/v3.0.2/LICENSE,BSD-3-Clause
github.com/youmark/pkcs8,https://github.com/youmark/pkcs8/blob/a2c0da244d78/LICENSE,MIT
go.mongodb.org/mongo-driver/v2,https://github.com/mongodb/mongo-go-driver/blob/v2.9.1/LICENSE,Apache-2.0
go.opentelemetry.io/auto/sdk,https://github.com/open-telemetry/opentelemetry-go-instrumentation/blob/sdk/v1.2.1/sdk/LICENSE,Apache-2.0
go.opentelemetry.io/contrib/instrumentation/net/http/httptrace/otelhttptrace,https://github.com/open-telemetry/opentelemetry-go-contrib/blob/instrumentation/net/http/httptrace/otelhttptrace/v0.46.1/instrumentation/net/http/httptrace/otelhttptrace/LICENSE,Apache-2.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,https://github.com/open-telemetry/opentelemetry-go-contrib/blob/instrumentation/net/http/otelhttp/v0.69.0/instrumentation/net/http/otelhttp/LICENSE,Apache-2.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,https://github.com/open-telemetry/opentelemetry-go-contrib/blob/instrumentation/net/http/otelhttp/v0.69.0/instrumentation/net/http/otelhttp/LICENSE,BSD-3-Clause
go.opentelemetry.io/contrib/propagators/b3,https://github.com/open-telemetry/opentelemetry-go-contrib/blob/propagators/b3/v1.21.0/propagators/b3/LICENSE,Apache-2.0
go.opentelemetry.io/contrib/propagators/jaeger,https://github.com/open-telemetry/opentelemetry-go-contrib/blob/propagators/jaeger/v1.21.1/propagators/jaeger/LICENSE,Apache-2.0
go.opentelemetry.io/contrib/samplers/jaegerremote,https://github.com/open-telemetry/opentelemetry-go-contrib/blob/samplers/jaegerremote/v0.15.1/samplers/jaegerremote/LICENSE,Apache-2.0
go.opentelemetry.io/otel,https://github.com/open-telemetry/opentelemetry-go/blob/v1.44.0/LICENSE,Apache-2.0
go.opentelemetry.io/otel,https://github.com/open-telemetry/opentelemetry-go/blob/v1.44.0/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/exporters/jaeger,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/jaeger/v1.17.0/exporters/jaeger/LICENSE,Apache-2.0
go.opentelemetry.io/otel/exporters/jaeger/internal/third_party/thrift/lib/go/thrift,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/jaeger/v1.17.0/exporters/jaeger/internal/third_party/thrift/LICENSE,Apache-2.0
go.opentelemetry.io/otel/exporters/jaeger/internal/third_party/thrift/lib/go/thrift,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/jaeger/v1.17.0/exporters/jaeger/internal/third_party/thrift/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/exporters/jaeger/internal/third_party/thrift/lib/go/thrift,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/jaeger/v1.17.0/exporters/jaeger/internal/third_party/thrift/LICENSE,GNU-All-permissive-Copying-License
go.opentelemetry.io/otel/exporters/otlp/otlptrace,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/otlp/otlptrace/v1.21.0/exporters/otlp/otlptrace/LICENSE,Apache-2.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/otlp/otlptrace/otlptracehttp/v1.21.0/exporters/otlp/otlptrace/otlptracehttp/LICENSE,Apache-2.0
go.opentelemetry.io/otel/exporters/zipkin,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/zipkin/v1.21.0/exporters/zipkin/LICENSE,Apache-2.0
go.opentelemetry.io/otel/metric,https://github.com/open-telemetry/opentelemetry-go/blob/metric/v1.44.0/metric/LICENSE,Apache-2.0
go.opentelemetry.io/otel/metric,https://github.com/open-telemetry/opentelemetry-go/blob/metric/v1.44.0/metric/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/sdk,https://github.com/open-telemetry/opentelemetry-go/blob/sdk/v1.44.0/sdk/LICENSE,Apache-2.0
go.opentelemetry.io/otel/sdk,https://github.com/open-telemetry/opentelemetry-go/blob/sdk/v1.44.0/sdk/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/trace,https://github.com/open-telemetry/opentelemetry-go/blob/trace/v1.44.0/trace/LICENSE,Apache-2.0
go.opentelemetry.io/otel/trace,https://github.com/open-telemetry/opentelemetry-go/blob/trace/v1.44.0/trace/LICENSE,BSD-3-Clause
go.opentelemetry.io/proto/otlp,https://github.com/open-telemetry/opentelemetry-proto-go/blob/otlp/v1.0.0/otlp/LICENSE,Apache-2.0
go.uber.org/atomic,https://github.com/uber-go/atomic/blob/v1.11.0/LICENSE.txt,MIT
go.uber.org/multierr,https://github.com/uber-go/multierr/blob/v1.11.0/LICENSE.txt,MIT
go.uber.org/zap,https://github.com/uber-go/zap/blob/v1.28.0/LICENSE,MIT
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.57.0:LICENSE,BSD-3-Clause
golang.org/x/net,https://cs.opensource.google/go/x/net/+/v0.58.0:LICENSE,BSD-3-Clause
golang.org/x/oauth2,https://cs.opensource.google/go/x/oauth2/+/v0.35.0:LICENSE,BSD-3-Clause
golang.org/x/sync,https://cs.opensource.google/go/x/sync/+/v0.23.0:LICENSE,BSD-3-Clause
golang.org/x/sys,https://cs.opensource.google/go/x/sys/+/v0.48.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.42.0:LICENSE,BSD-3-Clause
golang.org/x/time/rate,https://cs.opensource.google/go/x/time/+/v0.15.0:LICENSE,BSD-3-Clause
google.golang.org/genproto/googleapis/api,https://github.com/googleapis/go-genproto/blob/ab9386a59fda/googleapis/api/LICENSE,Apache-2.0
google.golang.org/genproto/googleapis/rpc/status,https://github.com/googleapis/go-genproto/blob/ab9386a59fda/googleapis/rpc/LICENSE,Apache-2.0
google.golang.org/grpc,https://github.com/grpc/grpc-go/blob/v1.78.0/LICENSE,Apache-2.0
google.golang.org/protobuf,https://github.com/protocolbuffers/protobuf-go/blob/v1.36.11/LICENSE,BSD-3-Clause
gopkg.in/inf.v0,https://github.com/go-inf/inf/blob/v0.9.1/LICENSE,BSD-3-Clause
gopkg.in/natefinch/lumberjack.v2,https://github.com/natefinch/lumberjack/blob/v2.2.1/LICENSE,MIT
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE,MIT
